
[10/231] 4% | 5.6s elapsed | ~123s remaining  
[20/231] 9% | 10.2s elapsed | ~107s remaining  
[30/231] 13% | 14.5s elapsed | ~97s remaining  
[40/231] 17% | 18.0s elapsed | ~86s remaining  
[50/231] 22% | 20.8s elapsed | ~75s remaining  
[60/231] 26% | 24.0s elapsed | ~68s remaining  
[70/231] 30% | 26.6s elapsed | ~61s remaining  
[80/231] 35% | 28.8s elapsed | ~54s remaining  
[90/231] 39% | 33.3s elapsed | ~52s remaining  
[100/231] 43% | 37.1s elapsed | ~49s remaining  
[110/231] 48% | 40.1s elapsed | ~44s remaining  
[120/231] 52% | 42.4s elapsed | ~39s remaining  
[130/231] 56% | 43.7s elapsed | ~34s remaining  
[140/231] 61% | 45.7s elapsed | ~30s remaining  
[150/231] 65% | 46.8s elapsed | ~25s remaining  
[160/231] 69% | 48.7s elapsed | ~22s remaining  
[170/231] 74% | 51.6s elapsed | ~19s remaining  
[180/231] 78% | 55.2s elapsed | ~16s remaining  
[190/231] 82% | 58.5s elapsed | ~13s remaining  
[200/231] 87% | 61.3s elapsed | ~10s remaining  
[210/231] 91% | 63.3s elapsed | ~6s remaining  
[220/231] 95% | 64.8s elapsed | ~3s remaining  
[230/231] 100% | 65.9s elapsed | ~0s remaining  
[231/231] 100% | 66.0s elapsed | ~0s remaining  
Done. 231 runs completed.
